country,adjectivals,demonyms
Sweden,Swedish,Swedes
Switzerland,Swiss,Swiss
Syria,Syrian,Syrians
Taiwan,Taiwanese,Taiwanese
Tajikistan,Tajikistani,Tajikistanis
Tanzania,Tanzanian,Tanzanians
Thailand,Thai,Thai
Timor-Leste,Timorese,Timorese
Togo,Togolese,Togolese
Tonga,Tongan,Tongans
Trinidad and Tobago,Trinidadian,Trinidadians
Tunisia,Tunisian,Tunisians
Turkey,Turkish,Turks
Turkmenistan,Turkmen,Turkmens
Tuvalu,Tuvaluan,Tuvaluans
Uganda,Ugandan,Ugandans
Ukraine,Ukrainian,Ukrainians
United Arab Emirates,Emirati,Emiratis
United Kingdom,British,Britons
United States of America,American,Americans
Uruguay,Uruguayan,Uruguayans
Uzbekistan,Uzbekistani,Uzbekistanis
Vanuatu,Ni-Vanuatu,Vanuatuan
Venezuela,Venezuelan,Venezuelans
Vietnam,Vietnamese,Vietnamese
Wales,Welsh,Walian
Yemen,Yemeni,Yemenis
Zambia,Zambian,Zambians
Zimbabwe,Zimbabwean,Zimbabweans
